ファイル名,正解_穴有無,予測_穴有無,判定_穴有無,暗部(絶対),暗部(平坦化),正解_穴ズレ,予測_穴ズレ,判定_穴ズレ,ズレ距離(px),コイン半径,総合判定
50yen_001.jpeg,1.0,1,OK,3595,0,0.0,0,OK,3.2,153,OK
50yen_002.jpeg,1.0,1,OK,4686,0,0.0,0,OK,1.4,150,OK
50yen_003.jpeg,1.0,1,OK,471,0,0.0,0,OK,0.0,170,OK
50yen_004.jpeg,1.0,1,OK,1218,0,0.0,0,OK,1.4,96,OK
50yen_005.jpeg,1.0,1,OK,3804,0,0.0,0,OK,1.4,222,OK
50yen_006.jpeg,1.0,1,OK,526,0,0.0,0,OK,1.4,111,OK
50yen_007.jpeg,1.0,1,OK,2389,0,1.0,1,OK,18.4,135,OK
50yen_008.jpeg,1.0,1,OK,4483,0,0.0,0,OK,1.4,192,OK
50yen_009.jpeg,1.0,1,OK,3694,0,0.5,0,NG,1.4,160,NG
50yen_010.jpeg,1.0,1,OK,1009,0,1.0,0,NG,1.4,217,NG
50yen_011.jpeg,0.0,0,OK,86,0,0.0,0,OK,0.0,123,OK
50yen_012.jpeg,0.0,0,OK,14,0,0.0,0,OK,0.0,147,OK
50yen_013.jpeg,1.0,1,OK,0,45,0.0,0,OK,1.4,77,OK
50yen_014.jpeg,1.0,1,OK,98,74,0.0,0,OK,1.4,167,OK
50yen_015_add.jpeg,1.0,1,OK,1005,0,0.0,0,OK,1.4,121,OK
50yen_016_add.jpeg,1.0,1,OK,475,0,0.0,0,OK,1.4,121,OK
50yen_017_add.jpeg,1.0,0,NG,0,0,0.0,0,OK,0.0,56,NG
50yen_018_add.jpeg,1.0,0,NG,23,0,0.0,0,OK,0.0,104,NG
50yen_019_add.jpeg,1.0,1,OK,286,0,1.0,0,NG,1.4,136,NG
50yen_020_add.jpeg,1.0,1,OK,406,0,0.5,0,NG,1.4,105,NG
50yen_021_add.jpeg,1.0,1,OK,521,0,1.0,0,NG,12.4,157,NG
50yen_022_add.jpeg,1.0,1,OK,219,0,1.0,1,OK,34.4,143,OK
50yen_023_add.jpeg,1.0,1,OK,2977,0,0.0,0,OK,0.0,171,OK
50yen_024_add.jpeg,1.0,1,OK,3533,0,0.0,0,OK,1.4,120,OK
50yen_025_add.jpeg,1.0,1,OK,2605,0,0.0,0,OK,13.6,163,OK
50yen_026_add.jpeg,1.0,1,OK,1561,0,1.0,0,NG,1.4,177,NG
50yen_027_add.jpeg,1.0,1,OK,2261,0,1.0,0,NG,1.4,139,NG
50yen_028_add.jpeg,0.0,1,NG,1019,0,0.0,0,OK,1.4,224,NG
50yen_029_add.jpeg,1.0,1,OK,3804,0,0.5,0,NG,1.4,222,NG
50yen_030_add.jpeg,1.0,1,OK,1555,0,0.0,0,OK,1.4,130,OK
