ファイル名,正解_穴有無,予測_穴有無,判定_穴有無,暗部面積(px),正解_穴ズレ,予測_穴ズレ,判定_穴ズレ,ズレ距離(px),総合判定
50yen_001.jpeg,1,1,OK,2462,0.0,0,OK,0.0,OK
50yen_002.jpeg,1,1,OK,1150,0.0,0,OK,6.0,OK
50yen_003.jpeg,1,0,NG,6,0.0,0,OK,0.0,NG
50yen_004.jpeg,1,1,OK,635,0.0,0,OK,0.0,OK
50yen_005.jpeg,1,1,OK,801,0.0,0,OK,0.0,OK
50yen_006.jpeg,1,1,OK,251,0.0,0,OK,0.0,OK
50yen_007.jpeg,1,1,OK,1100,1.0,1,OK,20.5,OK
50yen_008.jpeg,1,1,OK,1083,0.0,1,NG,15.1,NG
50yen_009.jpeg,1,1,OK,840,0.5,1,NG,25.5,NG
50yen_010.jpeg,1,0,NG,10,1.0,0,NG,0.0,NG
50yen_011.jpeg,0,0,OK,28,0.0,0,OK,0.0,OK
50yen_012.jpeg,0,0,OK,2,0.0,0,OK,0.0,OK
50yen_013.jpeg,1,0,NG,0,0.0,0,OK,0.0,NG
50yen_014.jpeg,1,0,NG,0,0.0,0,OK,0.0,NG
50yen_015_add.jpeg,1,1,OK,291,0.0,0,OK,0.0,OK
50yen_016_add.jpeg,1,0,NG,148,0.0,0,OK,0.0,NG
50yen_017_add.jpeg,1,0,NG,0,0.0,0,OK,0.0,NG
50yen_018_add.jpeg,1,0,NG,0,0.0,0,OK,0.0,NG
50yen_019_add.jpeg,1,0,NG,126,1.0,0,NG,0.0,NG
50yen_020_add.jpeg,1,0,NG,127,0.5,0,NG,0.0,NG
50yen_021_add.jpeg,1,0,NG,0,1.0,0,NG,0.0,NG
50yen_022_add.jpeg,1,0,NG,152,1.0,0,NG,0.0,NG
50yen_023_add.jpeg,1,1,OK,256,0.0,0,OK,0.0,OK
50yen_024_add.jpeg,1,1,OK,2003,0.0,0,OK,2.2,OK
50yen_025_add.jpeg,1,0,NG,0,0.0,0,OK,0.0,NG
50yen_026_add.jpeg,1,1,OK,252,1.0,0,NG,0.0,NG
50yen_027_add.jpeg,1,0,NG,181,1.0,0,NG,0.0,NG
50yen_028_add.jpeg,0,0,OK,0,0.0,0,OK,0.0,OK
50yen_029_add.jpeg,1,1,OK,801,0.5,0,NG,0.0,NG
50yen_030_add.jpeg,1,1,OK,261,0.0,0,OK,2.8,OK
