ファイル名,正解_穴有無,予測_穴有無,判定_穴有無,暗部(絶対),暗部(平坦化),正解_穴ズレ,予測_穴ズレ,判定_穴ズレ,ズレ距離(px),コイン半径,総合判定
50yen_001.jpeg,1,1,OK,3595,0,0,0,OK,0.0,155,OK
50yen_002.jpeg,1,1,OK,2624,0,0,0,OK,6.0,120,OK
50yen_003.jpeg,1,1,OK,360,0,0,0,OK,0.0,96,OK
50yen_004.jpeg,1,1,OK,1345,0,0,0,OK,0.0,100,OK
50yen_005.jpeg,1,1,OK,3413,0,0,0,OK,0.0,117,OK
50yen_006.jpeg,1,1,OK,560,0,0,0,OK,0.0,120,OK
50yen_007.jpeg,1,1,OK,1182,0,1,1,OK,20.5,74,OK
50yen_008.jpeg,1,1,OK,2230,0,0,1,NG,15.1,102,NG
50yen_009.jpeg,1,1,OK,1533,0,1,1,OK,25.5,96,OK
50yen_010.jpeg,1,1,OK,1028,0,1,0,NG,11.7,220,NG
50yen_011.jpeg,0,0,OK,86,0,0,0,OK,0.0,141,OK
50yen_012.jpeg,0,0,OK,14,0,0,0,OK,0.0,148,OK
50yen_013.jpeg,1,1,OK,0,45,0,0,OK,0.0,77,OK
50yen_014.jpeg,1,1,OK,99,73,0,0,OK,0.0,174,OK
50yen_015_add.jpeg,1,1,OK,1172,0,0,0,OK,0.0,97,OK
50yen_016_add.jpeg,1,1,OK,475,0,0,0,OK,0.0,127,OK
50yen_017_add.jpeg,1,0,NG,0,0,0,0,OK,0.0,56,NG
50yen_018_add.jpeg,1,0,NG,0,0,0,0,OK,0.0,56,NG
50yen_019_add.jpeg,1,1,OK,323,0,1,0,NG,0.0,141,NG
50yen_020_add.jpeg,1,1,OK,409,0,1,0,NG,0.0,83,NG
50yen_021_add.jpeg,1,0,NG,124,0,1,0,NG,0.0,111,NG
50yen_022_add.jpeg,1,1,OK,905,0,1,0,NG,0.0,100,NG
50yen_023_add.jpeg,1,1,OK,3021,0,0,0,OK,0.0,181,OK
50yen_024_add.jpeg,1,1,OK,3582,0,0,0,OK,2.2,124,OK
50yen_025_add.jpeg,1,1,OK,290,0,0,1,NG,40.3,120,NG
50yen_026_add.jpeg,1,1,OK,463,0,1,0,NG,0.0,105,NG
50yen_027_add.jpeg,1,1,OK,506,0,1,1,OK,32.0,96,OK
50yen_028_add.jpeg,0,1,NG,1029,0,0,0,OK,0.0,225,NG
50yen_029_add.jpeg,1,1,OK,3413,0,1,0,NG,0.0,117,NG
50yen_030_add.jpeg,1,1,OK,1042,0,0,0,OK,2.8,97,OK
