ファイル名,正解_穴有無,予測_穴有無,判定_穴有無,穴面積(px),正解_穴ズレ,予測_穴ズレ,判定_穴ズレ,ズレ距離(px),総合判定
50yen_001.jpeg,1,0,NG,0,0,0,OK,0.0,NG
50yen_002.jpeg,1,1,OK,3367,0,0,OK,6.0,OK
50yen_003.jpeg,1,0,NG,0,0,0,OK,0.0,NG
50yen_004.jpeg,1,0,NG,0,0,0,OK,0.0,NG
50yen_005.jpeg,1,0,NG,0,0,0,OK,0.0,NG
50yen_006.jpeg,1,1,OK,6234,0,0,OK,0.0,OK
50yen_007.jpeg,1,1,OK,2239,1,1,OK,20.5,OK
50yen_008.jpeg,1,1,OK,3581,0,1,NG,15.1,NG
50yen_009.jpeg,1,1,OK,1800,1,1,OK,25.5,OK
50yen_010.jpeg,1,1,OK,4172,1,0,NG,11.7,NG
50yen_011.jpeg,0,0,OK,0,0,0,OK,0.0,OK
50yen_012.jpeg,0,1,NG,4822,0,0,OK,6.4,NG
50yen_013.jpeg,1,0,NG,0,0,0,OK,0.0,NG
50yen_014.jpeg,1,1,OK,5979,0,0,OK,0.0,OK
50yen_015_add.jpeg,1,0,NG,0,0,0,OK,0.0,NG
50yen_016_add.jpeg,1,0,NG,0,0,0,OK,0.0,NG
50yen_017_add.jpeg,1,1,OK,6232,0,0,OK,1.0,OK
50yen_018_add.jpeg,1,0,NG,0,0,0,OK,0.0,NG
50yen_019_add.jpeg,1,0,NG,0,1,0,NG,0.0,NG
50yen_020_add.jpeg,1,0,NG,0,1,0,NG,0.0,NG
50yen_021_add.jpeg,1,1,OK,5351,1,0,NG,5.1,NG
50yen_022_add.jpeg,1,0,NG,0,1,0,NG,0.0,NG
50yen_023_add.jpeg,1,0,NG,0,0,0,OK,0.0,NG
50yen_024_add.jpeg,1,1,OK,1915,0,0,OK,2.2,OK
50yen_025_add.jpeg,1,1,OK,288,0,1,NG,40.3,NG
50yen_026_add.jpeg,1,0,NG,0,1,0,NG,0.0,NG
50yen_027_add.jpeg,1,1,OK,933,1,1,OK,32.0,OK
50yen_028_add.jpeg,0,0,OK,0,0,0,OK,0.0,OK
50yen_029_add.jpeg,1,0,NG,0,1,0,NG,0.0,NG
50yen_030_add.jpeg,1,1,OK,5460,0,0,OK,2.8,OK
