ファイル名,正解_穴有無,予測_穴有無,判定_穴有無,暗部面積(px),正解_穴ズレ,予測_穴ズレ,判定_穴ズレ,ズレ距離(px),総合判定
50yen_001.jpeg,1,1,OK,2462,0,0,OK,0.0,OK
50yen_002.jpeg,1,1,OK,1150,0,0,OK,6.0,OK
50yen_003.jpeg,1,0,NG,6,0,0,OK,0.0,NG
50yen_004.jpeg,1,1,OK,635,0,0,OK,0.0,OK
50yen_005.jpeg,1,1,OK,801,0,0,OK,0.0,OK
50yen_006.jpeg,1,1,OK,251,0,0,OK,0.0,OK
50yen_007.jpeg,1,1,OK,1100,1,1,OK,20.5,OK
50yen_008.jpeg,1,1,OK,1083,0,1,NG,15.1,NG
50yen_009.jpeg,1,1,OK,840,0,1,NG,25.5,NG
50yen_010.jpeg,1,0,NG,10,1,0,NG,0.0,NG
50yen_011.jpeg,0,0,OK,28,0,0,OK,0.0,OK
50yen_012.jpeg,0,0,OK,2,0,0,OK,0.0,OK
50yen_013.jpeg,1,0,NG,0,0,0,OK,0.0,NG
50yen_014.jpeg,1,0,NG,0,0,0,OK,0.0,NG
