ファイル名,正解_穴有無,予測_穴有無,判定_穴有無,暗部(絶対),暗部(平坦化),正解_穴ズレ,予測_穴ズレ,判定_穴ズレ,ズレ距離(px),コイン半径,総合判定
50yen_001.jpeg,1,1,OK,2846,2322,0,0,OK,0.0,155,OK
50yen_002.jpeg,1,1,OK,1769,1008,0,0,OK,6.0,120,OK
50yen_003.jpeg,1,1,OK,358,1140,0,0,OK,0.0,96,OK
50yen_004.jpeg,1,1,OK,1216,1099,0,0,OK,0.0,100,OK
50yen_005.jpeg,1,1,OK,1808,629,0,0,OK,0.0,117,OK
50yen_006.jpeg,1,1,OK,526,1052,0,0,OK,0.0,120,OK
50yen_007.jpeg,1,1,OK,1561,1260,1,1,OK,20.5,74,OK
50yen_008.jpeg,1,1,OK,1812,1559,0,1,NG,15.1,102,NG
50yen_009.jpeg,1,1,OK,1313,837,1,1,OK,25.5,96,OK
50yen_010.jpeg,1,1,OK,105,845,1,0,NG,11.7,220,NG
50yen_011.jpeg,0,1,NG,75,432,0,0,OK,0.0,141,NG
50yen_012.jpeg,0,1,NG,8,259,0,0,OK,6.4,148,NG
50yen_013.jpeg,1,0,NG,0,92,0,0,OK,0.0,77,NG
50yen_014.jpeg,1,1,OK,17,240,0,0,OK,0.0,174,OK
50yen_015_add.jpeg,1,1,OK,933,597,0,0,OK,0.0,97,OK
50yen_016_add.jpeg,1,1,OK,473,935,0,0,OK,0.0,127,OK
50yen_017_add.jpeg,1,0,NG,0,47,0,0,OK,0.0,56,NG
50yen_018_add.jpeg,1,1,OK,16,773,0,0,OK,0.0,56,OK
50yen_019_add.jpeg,1,1,OK,193,542,1,0,NG,0.0,141,NG
50yen_020_add.jpeg,1,1,OK,441,798,1,0,NG,0.0,83,NG
50yen_021_add.jpeg,1,1,OK,51,385,1,0,NG,5.1,111,NG
50yen_022_add.jpeg,1,1,OK,503,480,1,0,NG,0.0,100,NG
50yen_023_add.jpeg,1,1,OK,640,710,0,0,OK,0.0,181,OK
50yen_024_add.jpeg,1,1,OK,2478,2426,0,0,OK,2.2,124,OK
50yen_025_add.jpeg,1,0,NG,6,14,0,0,OK,0.0,120,NG
50yen_026_add.jpeg,1,1,OK,384,706,1,0,NG,0.0,105,NG
50yen_027_add.jpeg,1,1,OK,390,485,1,1,OK,32.0,96,OK
50yen_028_add.jpeg,0,1,NG,149,290,0,0,OK,0.0,225,NG
50yen_029_add.jpeg,1,1,OK,1808,629,1,0,NG,0.0,117,NG
50yen_030_add.jpeg,1,1,OK,817,670,0,0,OK,2.8,97,OK
