ファイル名,正解_穴有無,予測_穴有無,判定_穴有無,暗部(絶対),暗部(平坦化),正解_穴ズレ,予測_穴ズレ,判定_穴ズレ,ズレ距離(px),コイン半径,総合判定
50yen_001.jpeg,1.0,1,OK,3594,0,0.0,0,OK,3.2,154,OK
50yen_002.jpeg,1.0,1,OK,2624,0,0.0,0,OK,6.1,120,OK
50yen_003.jpeg,1.0,1,OK,360,0,0.0,0,OK,1.0,96,OK
50yen_004.jpeg,1.0,1,OK,1175,0,0.0,0,OK,1.4,93,OK
50yen_005.jpeg,1.0,1,OK,3413,0,0.0,0,OK,0.0,117,OK
50yen_006.jpeg,1.0,1,OK,560,0,0.0,0,OK,1.4,120,OK
50yen_007.jpeg,1.0,1,OK,1182,0,1.0,0,NG,5.1,74,NG
50yen_008.jpeg,1.0,1,OK,2230,0,0.0,0,OK,1.4,102,OK
50yen_009.jpeg,1.0,1,OK,1533,0,0.5,0,NG,1.4,96,NG
50yen_010.jpeg,1.0,1,OK,1016,0,1.0,0,NG,0.0,218,NG
50yen_011.jpeg,0.0,0,OK,86,0,0.0,0,OK,0.0,136,OK
50yen_012.jpeg,0.0,0,OK,14,0,0.0,0,OK,0.0,147,OK
50yen_013.jpeg,1.0,1,OK,0,45,0.0,0,OK,1.4,77,OK
50yen_014.jpeg,1.0,1,OK,99,76,0.0,0,OK,1.4,169,OK
50yen_015_add.jpeg,1.0,1,OK,1172,0,0.0,1,NG,18.9,97,NG
50yen_016_add.jpeg,1.0,1,OK,498,0,0.0,0,OK,1.4,121,OK
50yen_017_add.jpeg,1.0,0,NG,0,0,0.0,0,OK,0.0,56,NG
50yen_018_add.jpeg,1.0,0,NG,0,0,0.0,0,OK,0.0,56,NG
50yen_019_add.jpeg,1.0,1,OK,302,0,1.0,0,NG,1.4,137,NG
50yen_020_add.jpeg,1.0,1,OK,409,0,0.5,0,NG,14.0,83,NG
50yen_021_add.jpeg,1.0,0,NG,124,0,1.0,0,NG,0.0,111,NG
50yen_022_add.jpeg,1.0,1,OK,905,0,1.0,0,NG,7.1,100,NG
50yen_023_add.jpeg,1.0,1,OK,2989,0,0.0,0,OK,1.4,176,OK
50yen_024_add.jpeg,1.0,1,OK,3532,0,0.0,0,OK,1.4,121,OK
50yen_025_add.jpeg,1.0,1,OK,290,0,0.0,1,NG,27.8,120,NG
50yen_026_add.jpeg,1.0,1,OK,463,0,1.0,0,NG,1.4,105,NG
50yen_027_add.jpeg,1.0,1,OK,506,0,1.0,0,NG,14.0,96,NG
50yen_028_add.jpeg,0.0,1,NG,1023,0,0.0,0,OK,1.4,224,NG
50yen_029_add.jpeg,1.0,1,OK,3413,0,0.5,0,NG,0.0,117,NG
50yen_030_add.jpeg,1.0,1,OK,1042,0,0.0,0,OK,3.2,97,OK
