ファイル名,正解_穴有無,予測_穴有無,判定_穴有無,正解_穴ズレ,予測_穴ズレ,判定_穴ズレ,ズレ距離(px),ズレ比率,コイン半径(px),穴半径(px),総合判定
50yen_001.jpeg,1,1,OK,0,0,OK,5.0,0.0325,154,40,OK
50yen_002.jpeg,1,0,NG,0,0,OK,0.0,0.0,144,0,NG
50yen_003.jpeg,1,1,OK,0,1,NG,78.9,0.4668,169,49,NG
50yen_004.jpeg,1,1,OK,0,1,NG,5.1,0.0548,93,19,NG
50yen_005.jpeg,1,1,OK,0,1,NG,12.6,0.0602,210,50,NG
50yen_006.jpeg,1,1,OK,0,0,OK,1.0,0.0097,103,25,OK
50yen_007.jpeg,1,1,OK,1,1,OK,19.1,0.1436,133,38,OK
50yen_008.jpeg,1,1,OK,0,1,NG,70.1,0.3892,180,53,NG
50yen_009.jpeg,1,1,OK,1,0,NG,2.8,0.0171,165,39,NG
50yen_010.jpeg,1,1,OK,1,1,OK,57.5,0.2712,212,45,OK
50yen_011.jpeg,0,1,NG,0,1,OK,57.6,0.461,125,36,NG
50yen_012.jpeg,0,1,NG,0,1,OK,65.8,0.4984,132,38,NG
50yen_013.jpeg,1,1,OK,0,1,NG,5.0,0.0658,76,21,NG
50yen_014.jpeg,1,1,OK,0,1,NG,26.9,0.1632,165,48,NG
50yen_015_add.jpeg,1,0,NG,0,0,OK,0.0,0.0,121,0,NG
50yen_016_add.jpeg,1,0,NG,0,0,OK,0.0,0.0,120,0,NG
50yen_017_add.jpeg,1,1,OK,0,1,NG,3.0,0.0545,55,15,NG
50yen_018_add.jpeg,1,0,NG,0,0,OK,0.0,0.0,97,0,NG
50yen_019_add.jpeg,1,1,OK,1,0,NG,2.2,0.0166,135,37,NG
50yen_020_add.jpeg,1,1,OK,1,1,OK,45.8,0.4925,93,26,OK
50yen_021_add.jpeg,1,1,OK,1,1,OK,55.1,0.3628,152,40,OK
50yen_022_add.jpeg,1,1,OK,1,1,OK,69.0,0.4257,162,45,OK
50yen_023_add.jpeg,1,1,OK,0,0,OK,8.1,0.0471,171,48,OK
50yen_024_add.jpeg,1,1,OK,0,1,NG,7.8,0.0704,111,32,NG
50yen_025_add.jpeg,1,1,OK,0,0,OK,7.2,0.0442,163,45,OK
50yen_026_add.jpeg,1,1,OK,1,1,OK,27.5,0.1634,168,44,OK
50yen_027_add.jpeg,1,1,OK,1,1,OK,37.2,0.2584,144,42,OK
50yen_028_add.jpeg,0,1,NG,0,1,OK,101.8,0.4736,215,63,NG
50yen_029_add.jpeg,1,1,OK,1,1,OK,12.6,0.0602,210,50,OK
50yen_030_add.jpeg,1,0,NG,0,0,OK,0.0,0.0,130,0,NG
