ファイル名,正解_穴有無,予測_穴有無,判定_穴有無,正解_穴ズレ,予測_穴ズレ,判定_穴ズレ,ズレ距離(px),ズレ比率,コイン半径(px),穴半径(px),総合判定
50yen_001.jpeg,1,1,OK,0,0,OK,6.7,0.0436,154,50,OK
50yen_002.jpeg,1,1,OK,0,1,NG,30.5,0.212,144,49,NG
50yen_003.jpeg,1,1,OK,0,1,NG,10.3,0.0602,171,44,NG
50yen_004.jpeg,1,1,OK,0,1,NG,5.1,0.0548,93,19,NG
50yen_005.jpeg,1,1,OK,0,1,NG,70.8,0.3175,223,73,NG
50yen_006.jpeg,1,1,OK,0,0,OK,4.0,0.0388,103,30,OK
50yen_007.jpeg,1,1,OK,1,1,OK,35.4,0.2544,139,47,OK
50yen_008.jpeg,1,1,OK,0,1,NG,25.6,0.1313,195,67,NG
50yen_009.jpeg,1,1,OK,1,0,NG,7.1,0.0429,165,32,NG
50yen_010.jpeg,1,1,OK,1,1,OK,64.1,0.2997,214,73,OK
50yen_011.jpeg,0,1,NG,0,1,OK,17.7,0.132,134,45,NG
50yen_012.jpeg,0,1,NG,0,1,OK,48.4,0.3337,145,49,NG
50yen_013.jpeg,1,1,OK,0,1,NG,4.2,0.0558,76,23,NG
50yen_014.jpeg,1,1,OK,0,1,NG,11.0,0.0669,165,49,NG
50yen_015_add.jpeg,1,1,OK,0,0,OK,5.0,0.0413,121,34,OK
50yen_016_add.jpeg,1,1,OK,0,0,OK,5.0,0.0417,120,39,OK
50yen_017_add.jpeg,1,1,OK,0,0,OK,1.4,0.0257,55,14,OK
50yen_018_add.jpeg,1,1,OK,0,0,OK,4.5,0.0434,103,23,OK
50yen_019_add.jpeg,1,1,OK,1,1,OK,14.1,0.1048,135,46,OK
50yen_020_add.jpeg,1,1,OK,1,1,OK,49.2,0.3438,143,49,OK
50yen_021_add.jpeg,1,1,OK,1,1,OK,22.8,0.1502,152,52,OK
50yen_022_add.jpeg,1,1,OK,1,1,OK,33.4,0.1814,184,63,OK
50yen_023_add.jpeg,1,1,OK,0,1,NG,27.2,0.1589,171,58,NG
50yen_024_add.jpeg,1,1,OK,0,0,OK,5.4,0.0441,122,37,OK
50yen_025_add.jpeg,1,1,OK,0,0,OK,10.8,0.0451,239,82,OK
50yen_026_add.jpeg,1,1,OK,1,1,OK,27.0,0.157,172,59,OK
50yen_027_add.jpeg,1,1,OK,1,1,OK,69.4,0.4821,144,32,OK
50yen_028_add.jpeg,0,1,NG,0,0,OK,2.0,0.009,223,62,NG
50yen_029_add.jpeg,1,1,OK,1,1,OK,70.8,0.3175,223,73,OK
50yen_030_add.jpeg,1,1,OK,0,1,NG,17.5,0.1333,131,44,NG
